"المنطقة,Sales 01,Sales 02,Sales 03,Sales 04,Sales 05,Sales 06,Sales 07,Sales 08,Sales 09"
"شبين,1787121,1552845,161445200,1640320,2690650,210021500,2423388,1828823,1242073"
"الخانكة,2022727,1830784,187588400,1782987,1777492,158992800,1700005,1727252,1087813"
"قليوب,2088424,1604761,166803100,1654032,1806410,174843200,1813085,1584999,1034578"
"القناطر,2797748,2455221,222932800,2227377,2363317,224825900,2635589,2586612,1820975"
"بنها,1455579,1408619,148131800,1440707,1292930,193652200,1923342,1947167,1193956"
"طوخ,1069765,1097549,132531200,1222885,1366105,118983600,1202928,1194574,847687"
"مشتول,116337,53170,6114800,85450,66042,7551700,173738,118706,70586"
"كبار عملاء,638016,631203,35325500,520715,618846,62519700,655318,523933,356705"
"مخازن,2024301,2362094,248021200,2750242,1129369,155954100,1475634,1553269,333634"
